School,Exam Anon Code,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
Handelshögskolan i Göteborg,-414747327,7.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,0.0,1.0
Handelshögskolan i Göteborg,-414747325,8.0,2.0,4.0,2.0,7.0,8.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0
Handelshögskolan i Göteborg,-414747328,8.0,0.0,4.0,0.0,6.0,2.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Handelshögskolan i Göteborg,-414747326,10.0,2.0,4.0,3.0,5.0,7.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Handelshögskolan i Göteborg,-414747329,5.0,1.0,4.0,1.0,1.0,0.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0
Handelshögskolan i Göteborg,-414747324,10.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,0.0,1.0
Handelshögskolan i Stockholm,-419364935,5.0,1.0,4.0,0.0,8.0,9.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.5
Handelshögskolan i Stockholm,-419364934,8.0,1.0,4.0,0.0,6.0,9.0,5.0,0.0,5.0,5.0,5.0,3.0,2.0,3.5
Handelshögskolan i Stockholm,-419364933,8.0,1.0,3.0,0.0,8.0,6.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0
Handelshögskolan i Stockholm,-419364932,8.0,1.0,4.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,3.0,1.0,2.5
Handelshögskolan i Stockholm,-419364931,8.0,1.0,4.0,2.0,1.0,9.0,3.0,2.0,2.0,5.0,5.0,4.0,0.0,3.0
Högskolan i Gävle ,-418590369,10.0,2.0,2.0,0.0,6.0,0.0,2.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0
Högskolan i Gävle ,-418590368,10.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0
Högskolan i Gävle ,-418590367,4.0,2.0,4.0,0.0,2.0,0.0,3.0,2.0,0.0,3.5,3.0,1.0,0.0,0.0
Högskolan i Gävle ,-418590366,10.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0
Högskolan i Gävle ,-418590365,4.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
Högskolan i Gävle ,-418590364,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Högskolan i Gävle ,-418590363,3.0,2.0,2.0,2.0,5.0,0.0,2.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0
Högskolan i Halmstad,-416743327,10.0,1.0,4.0,3.0,4.0,6.5,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
Högskolan i Halmstad,-416743326,8.0,1.0,3.0,4.0,0.0,3.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Högskolan i Halmstad,-416743325,7.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0
Högskolan i Halmstad,-416743323,10.0,1.5,4.0,2.0,5.5,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad,-416743322,5.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,5.0,0.0,1.0,1.0,0.5
Högskolan i Halmstad,-416743321,8.0,1.0,2.0,4.0,4.0,5.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad,-416743320,7.0,1.0,2.0,3.0,0.5,5.5,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.5
Högskolan i Halmstad,-416743319,10.0,1.0,4.0,4.0,0.5,2.0,4.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0
Högskolan i Halmstad,-416743297,9.0,1.5,4.0,3.0,0.5,1.5,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad,-416743296,8.0,2.0,4.0,0.0,1.0,0.5,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
Högskolan i Halmstad,-416743295,10.0,0.5,4.0,4.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Högskolan i Skövde,-420288455,4.0,1.0,4.0,2.0,8.0,0.0,4.0,0.0,2.5,3.0,5.0,1.0,1.0,0.0
Karlstads Universitet,-415819806,4.0,1.0,4.0,0.0,5.0,0.0,2.0,2.0,5.0,2.5,3.0,2.0,0.0,0.0
Karlstads Universitet,-415819805,8.0,1.0,3.0,0.0,2.5,0.5,2.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0
Karlstads Universitet,-415819804,8.0,0.0,3.0,1.0,5.0,0.5,3.0,2.0,4.0,2.0,5.0,2.0,3.0,0.0
Karlstads Universitet,-415819803,6.0,0.0,2.0,0.0,5.5,0.0,1.0,1.5,2.5,2.5,3.0,2.0,4.0,0.0
Karlstads Universitet,-415819802,2.0,1.0,4.0,0.0,0.5,0.0,1.0,2.5,0.0,1.0,3.0,0.0,0.0,0.0
Karlstads Universitet,-415819801,9.0,0.0,3.0,0.0,4.5,0.0,0.5,2.5,2.0,2.5,5.0,2.0,3.0,0.0
Karlstads Universitet,-415819800,2.0,1.0,3.0,2.0,3.5,0.0,2.5,1.5,3.0,2.0,3.0,2.0,3.0,0.0
Karlstads Universitet,-415819799,2.0,1.0,2.0,0.0,2.0,0.0,2.5,1.5,4.0,2.5,3.0,2.0,1.0,0.0
Karlstads Universitet,-415819798,10.0,2.0,2.0,0.0,0.0,0.0,0.5,1.0,0.0,1.5,2.0,2.0,1.0,0.0
Karlstads Universitet,-415819776,3.0,1.0,2.0,1.0,2.5,0.0,2.0,1.0,3.0,1.5,5.0,2.0,0.0,1.0
Karlstads Universitet,-415819775,8.0,0.0,2.0,0.0,5.5,0.0,2.5,1.5,3.5,2.5,5.0,2.0,0.0,0.0
Karlstads Universitet,-415819774,6.0,2.0,2.0,2.0,4.0,0.0,2.5,0.0,0.0,0.5,4.0,2.0,1.0,4.0
Karlstads Universitet,-415819773,3.0,2.0,4.0,2.0,3.5,0.0,1.5,1.0,0.0,1.5,0.0,2.0,2.0,0.0
Karlstads Universitet,-415819771,5.0,1.0,1.0,3.0,3.5,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
Linköpings Universitet,-420437410,10.0,1.0,3.0,0.0,8.0,7.0,0.0,4.0,3.0,3.0,3.5,2.0,1.5,5.0
Linköpings Universitet,-420437403,5.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0
Linköpings Universitet,-2085090689,10.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,3.0,0.0,2.0,3.0,1.0
Linköpings Universitet,-420437405,5.0,1.0,4.0,0.0,7.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0
Linköpings Universitet,-420437407,10.0,0.0,4.0,0.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,5.0,0.0
Linköpings Universitet,-420437408,7.0,1.0,4.0,0.5,4.0,6.0,5.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0
Linköpings Universitet,-420437411,7.0,0.0,4.0,0.0,7.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,0.0
Linköpings Universitet,-420437404,10.0,0.0,4.0,0.0,2.0,0.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0
Linköpings Universitet,-420437406,10.0,1.0,4.0,0.0,3.0,1.0,3.0,0.0,3.0,2.0,3.0,2.0,1.0,4.5
Linköpings Universitet,-420437381,10.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,4.0,0.5,1.0,1.5
Linnéuniversitetet Kalmar,-419513890,7.0,1.0,3.0,1.0,8.0,0.0,3.0,1.0,0.0,5.0,3.0,3.0,3.0,5.0
Linnéuniversitetet Kalmar,-419513889,2.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0
Linnéuniversitetet Växjö,-421360932,10.0,2.0,3.0,3.0,8.0,0.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0
Linnéuniversitetet Växjö,-421360931,10.0,1.0,4.0,3.0,0.0,0.0,3.0,3.0,5.0,5.0,2.5,4.0,3.0,0.0
Linnéuniversitetet Växjö,-421360930,9.0,2.0,4.0,3.0,0.0,2.0,3.0,0.5,3.0,3.0,1.0,3.0,3.0,0.0
Luleå tekniska universitet,1661216,10.0,1.0,3.0,0.0,9.0,7.0,2.5,0.0,2.5,4.5,4.5,1.5,3.0,0.5
Luleå tekniska universitet,1661219,10.0,1.0,3.0,3.0,7.0,4.0,4.0,1.0,1.5,5.0,5.0,2.0,2.5,0.5
Luleå tekniska universitet,1661215,10.0,0.0,4.0,0.0,2.0,4.0,3.0,1.5,2.5,3.0,5.0,0.0,4.0,0.5
Luleå tekniska universitet,1661217,8.0,0.0,3.0,0.0,5.0,4.5,4.0,1.0,2.5,3.0,3.5,1.0,4.0,0.0
Luleå tekniska universitet,1661218,10.0,1.0,2.0,0.0,6.0,0.0,5.0,1.5,0.0,2.5,3.5,1.0,0.0,0.0
Luleå tekniska universitet,1661221,4.0,1.0,3.0,0.0,4.5,5.0,3.0,0.5,0.5,0.5,4.5,0.0,3.0,0.0
Luleå tekniska universitet,1661220,2.0,1.0,1.0,0.0,6.0,1.0,4.0,0.0,2.5,2.0,3.0,1.5,0.5,0.0
Mittuniversitet Sundsvall,-415670851,10.0,2.0,4.0,2.0,6.0,2.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0
Mälardalens Högskola,-422284453,10.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0
Södertörns högskola,-421211940,10.0,0.0,1.0,0.0,3.5,2.0,2.5,1.5,2.0,5.0,5.0,2.0,1.0,4.0
Södertörns högskola,-421211942,10.0,1.0,2.0,0.0,4.0,0.5,5.0,2.5,5.0,4.5,2.0,0.5,0.0,0.5
Södertörns högskola,-421211943,10.0,1.0,1.0,0.0,0.5,0.0,4.0,3.0,4.0,1.0,2.0,2.0,0.0,3.0
Södertörns högskola,-421211941,6.0,2.0,2.0,0.0,1.0,0.0,5.0,2.5,0.0,5.0,5.0,1.0,0.0,0.0
Södertörns högskola,-421211947,10.0,1.0,1.5,0.0,1.0,1.5,1.5,3.5,2.0,1.5,2.0,1.0,1.0,0.0
Södertörns högskola,-421211975,10.0,1.0,1.0,0.0,0.0,0.0,1.5,2.0,0.0,3.0,4.0,1.0,0.0,0.0
Södertörns högskola,-421211972,10.0,1.0,2.0,0.0,0.0,0.0,4.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0
Södertörns högskola,-421211940,10.0,1.0,0.5,0.0,0.0,0.0,0.5,2.0,0.0,1.0,4.0,0.5,0.0,0.0
Södertörns högskola,-421211976,4.0,1.0,1.0,0.0,1.5,0.0,2.5,1.0,0.0,0.0,4.0,1.0,4.0,0.0
Södertörns högskola,-421211974,6.0,1.0,3.0,0.0,1.0,0.0,1.0,1.5,0.0,0.5,4.0,0.5,0.0,1.0
Södertörns högskola,-421211946,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0
