School                            ,q1  ,q2 ,q3 ,q4 ,q5 ,q6  ,q7 ,q8 ,q9 ,q10,q11,q12,q13,q14
Handelshögskolan i Göteborg       ,7.0 ,0.0,3.0,2.0,1.0,1.0 ,2.0,2.0,2.0,5.0,5.0,2.0,0.0,1.0
Handelshögskolan i Göteborg       ,8.0 ,2.0,4.0,2.0,7.0,8.0 ,2.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0
Handelshögskolan i Göteborg       ,8.0 ,0.0,4.0,0.0,6.0,2.0 ,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Handelshögskolan i Göteborg       ,10.0,2.0,4.0,3.0,5.0,7.0 ,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Handelshögskolan i Göteborg       ,5.0 ,1.0,4.0,1.0,1.0,0.0 ,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0
Handelshögskolan i Göteborg       ,10.0,2.0,4.0,4.0,4.0,2.0 ,4.0,3.0,5.0,5.0,5.0,4.0,0.0,1.0
Handelshögskolan i Stockholm      ,5.0 ,1.0,4.0,0.0,8.0,9.0 ,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.5
Handelshögskolan i Stockholm      ,8.0 ,1.0,4.0,0.0,6.0,9.0 ,5.0,0.0,5.0,5.0,5.0,3.0,2.0,3.5
Handelshögskolan i Stockholm      ,8.0 ,1.0,3.0,0.0,8.0,6.0 ,3.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0
Handelshögskolan i Stockholm      ,8.0 ,1.0,4.0,4.0,4.0,1.0 ,5.0,1.0,5.0,4.0,4.0,3.0,1.0,2.5
Handelshögskolan i Stockholm      ,8.0 ,1.0,4.0,2.0,1.0,9.0 ,3.0,2.0,2.0,5.0,5.0,4.0,0.0,3.0
Högskolan i Halmstad              ,10.0,1.0,4.0,3.0,4.0,6.5 ,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
Högskolan i Halmstad              ,8.0 ,1.0,3.0,4.0,0.0,3.5 ,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Högskolan i Halmstad              ,7.0 ,1.0,4.0,3.0,2.0,3.0 ,4.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0
Högskolan i Halmstad              ,10.0,1.5,4.0,2.0,5.5,0.0 ,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad              ,5.0 ,1.0,0.0,2.0,1.0,2.0 ,3.0,0.0,1.0,5.0,0.0,1.0,1.0,0.5
Högskolan i Halmstad              ,8.0 ,1.0,2.0,4.0,4.0,5.5 ,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad              ,7.0 ,1.0,2.0,3.0,0.5,5.5 ,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.5
Högskolan i Halmstad              ,10.0,1.0,4.0,4.0,0.5,2.0 ,4.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0
Högskolan i Halmstad              ,9.0 ,1.5,4.0,3.0,0.5,1.5 ,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad              ,8.0 ,2.0,4.0,0.0,1.0,0.5 ,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
