Name                              ,Score             ,Mean ,Median,Standard Deviation,Variance
Uppsala Universitet Campus Gotland,22.0              ,1.571,1.563 ,1.124             ,1.263
Södertörns högskola               ,24.53846153846154 ,1.753,1.173 ,1.797             ,3.228
Mälardalens Högskola              ,26.0              ,1.857,1.0   ,2.695             ,7.265
Karlstads Universitet             ,27.25             ,1.946,1.768 ,1.347             ,1.816
Linnéuniversitetet Kalmar         ,30.0              ,2.143,2.5   ,1.457             ,2.122
Högskolan i Halmstad              ,30.045454545454547,2.146,1.591 ,2.064             ,4.26
Umeå Universitet                  ,30.928571428571427,2.209,2.179 ,1.166             ,1.36
Högskolan i Skövde                ,35.5              ,2.536,2.25  ,2.224             ,4.945
Luleå tekniska universitet        ,37.714285714285715,2.694,2.571 ,2.08              ,4.328
Linköpings Universitet            ,37.9              ,2.707,2.475 ,1.947             ,3.792
Handelshögskolan i Göteborg       ,38.833333333333336,2.774,2.333 ,1.927             ,3.713
Mittuniversitet Sundsvall         ,40.0              ,2.857,2.0   ,2.695             ,7.265
Linnéuniversitetet Växjö          ,41.666666666666664,2.976,3.0   ,2.124             ,4.511
Handelshögskolan i Stockholm      ,52.3              ,3.736,3.8   ,1.911             ,3.654
