Tidstämpel,Skola,Datum,Tentanummer,Totala poäng,Fråga 1 Poäng,Fråga 2 Poäng,Fråga 3 Poäng,Fråga 4 Poäng,Fråga 5 Poäng,Fråga 6 Poäng,Fråga 7 Poäng,Fråga 8 Poäng,Fråga 9 Poäng,Fråga 10 Poäng,Fråga 11 Poäng,Fråga 12 Poäng,Fråga 13 Poäng,Fråga 14 Poäng,Summa,Lika med E
2019-03-06 14.51.03,Högskolan i Skövde,2019-03-06,SM-35-02,35.5,4,1,4,2,8,0,4,0,2.5,3,5,1,1,0,35.5,TRUE
2019-03-06 15.44.24,Linköpings Universitet,2019-03-06,SM-30-02,51,10,1,3,0,8,7,0,4,3,3,3.5,2,1.5,5,51,TRUE
2019-03-06 15.45.59,Linköpings Universitet,2019-03-06,SM-30-09,27,5,1,4,0,1,0,4,0,4,4,0,2,2,0,27,TRUE
2019-03-06 15.47.07,Linköpings Universitet,2019-03-06,Sm-30-03,33,10,1,4,0,0,1,4,0,4,3,0,2,3,1,33,TRUE
2019-03-06 15.47.57,Luleå tekniska universitet,2019-03-06,6502,49,10,1,3,0,9,7,2.5,0,2.5,4.5,4.5,1.5,3,0.5,49,TRUE
2019-03-06 15.48.06,Linköpings Universitet,2019-03-06,SM-30-07,43,5,1,4,0,7,5,4,1,4,3,4,2,3,0,43,TRUE
2019-03-06 15.49.03,Linköpings Universitet,2019-03-06,SM-30-05,46,10,0,4,0,2,4,4,3,4,4,5,1,5,0,46,TRUE
2019-03-06 15.50.04,Luleå tekniska universitet,2019-03-06,6505,49.5,10,1,3,3,7,4,4,1,1.5,5,5,2,2.5,0.5,49.5,TRUE
2019-03-06 15.50.09,Linköpings Universitet,2019-03-06,SM-30-04,37.5,7,1,4,0.5,4,6,5,0,4,3,0,2,0,1,37.5,TRUE
2019-03-06 15.50.57,Linköpings Universitet,2019-03-06,SM-30-01,41,7,0,4,0,7,2,5,3,4,2,2,3,2,0,41,TRUE
2019-03-06 15.51.48,Linköpings Universitet,2019-03-06,SM-30-08,31,10,0,4,0,2,0,3,3,4,3,2,0,0,0,31,TRUE
2019-03-06 15.51.59,Luleå tekniska universitet,2019-03-06,6501,39.5,10,0,4,0,2,4,3,1.5,2.5,3,5,0,4,0.5,39.5,TRUE
2019-03-06 15.53.05,Linköpings Universitet,2019-03-06,SM-30-06,37.5,10,1,4,0,3,1,3,0,3,2,3,2,1,4.5,37.5,TRUE
2019-03-06 15.53.47,Luleå tekniska universitet,2019-03-06,6503,39.5,8,0,3,0,5,4.5,4,1,2.5,3,3.5,1,4,0,39.5,TRUE
2019-03-06 15.54.09,Linköpings Universitet,2019-03-06,SM-30-10,32,10,1,4,0,1,0,3,0,4,2,4,0.5,1,1.5,32,TRUE
2019-03-06 15.56.03,Luleå tekniska universitet,2019-03-06,6504,32.5,10,1,2,0,6,0,5,1.5,0,2.5,3.5,1,0,0,32.5,TRUE
2019-03-06 15.58.20,Luleå tekniska universitet,2019-03-06,6507,29.5,4,1,3,0,4.5,5,3,0.5,0.5,0.5,4.5,0,3,0,29.5,TRUE
2019-03-06 16.00.56,Luleå tekniska universitet,2019-03-06,6506,24,2,1,1,0,6,1,4,0,2.5,2,3,1.5,0.5,0,24.5,FALSE
2019-03-06 17.35.22,Umeå Universitet,2019-03-06,SM-90-06,9,2,1,4,0,0,0,0,1,0,0,0,1,0,0,9,TRUE
2019-03-06 17.37.33,Umeå Universitet,2019-03-06,SM-90-14,21,5,1,4,0,4,0,1,0,3,1,0,1,0,1,21,TRUE
2019-03-06 17.39.38,Umeå Universitet,2019-03-06,SM-90-10,18,3,1,3,3,0,0,3,1,2,1,0,1,0,0,18,TRUE
2019-03-06 17.41.30,Umeå Universitet,2019-03-06,SM-90-11,24,2,0,4,0,8,0,1,3,3,1,0,2,0,0,24,TRUE
2019-03-06 17.43.41,Umeå Universitet,2019-03-06,SM-90-09,25,3,0,4,0,3,1,2,2,5,0,0,2,0,3,25,TRUE
2019-03-06 17.45.10,Umeå Universitet,2019-03-06,SM-90-04,25,2,1,4,1,3,0,3,4,4,1,0,2,0,0,25,TRUE
2019-03-06 17.46.41,Umeå Universitet,2019-03-06,SM-90-05,27,5,2,4,1,2,2,2,0,4,1,1,2,0,1,27,TRUE
2019-03-06 17.49.44,Umeå Universitet,2019-03-06,SM-90-07,29,5,1,4,0,0,1,3,2,3,2,0,4,0,4,29,TRUE
2019-03-06 17.51.11,Umeå Universitet,2019-03-06,SM-90-12,30,2,1,4,1,5,3,4,1,3,2,0,2,1,1,30,TRUE
2019-03-06 17.52.42,Umeå Universitet,2019-03-06,SM-90-03,35,6,1,4,0,3,0,2,1,5,1,0,2,6,4,35,TRUE
2019-03-06 17.54.10,Umeå Universitet,2019-03-06,SM-90-13,42,7,1,4,0,4,4,4,5,4,2,5,2,0,0,42,TRUE
2019-03-06 17.55.40,Umeå Universitet,2019-03-06,SM-90-01,43,4,1,4,0,8,4,3,2,4,4,4,4,1,0,43,TRUE
2019-03-06 17.57.14,Umeå Universitet,2019-03-06,SM-90-08,49,5,0,4,3,8,8,3,5,5,2,2,2,2,0,49,TRUE
2019-03-06 17.58.39,Umeå Universitet,2019-03-06,SM-90-02,56,3,1,4,4,8,10,4,3,5,2,5,4,2,1,56,TRUE
2019-03-06 19.52.59,Linnéuniversitetet Växjö,2019-03-06,SM-20-01,45,10,2,3,3,8,0,4,2,1,4,2,2,3,1,45,TRUE
2019-03-06 21.14.00,Linnéuniversitetet Växjö,2019-03-06,SM-20-02,43.5,10,1,4,3,0,0,3,3,5,5,2.5,4,3,0,43.5,TRUE
2019-03-06 21.51.20,Linnéuniversitetet Växjö,2019-03-06,SM-20-03,36.5,9,2,4,3,0,2,3,0.5,3,3,1,3,3,0,36.5,TRUE
2019-03-06 22.36.30,Högskolan i Halmstad,2019-03-06,SM-70-01,38.5,10,1,4,3,4,6.5,5,0,3,1,0,1,0,0,38.5,TRUE
2019-03-06 22.40.36,Högskolan i Halmstad,2019-03-06,SM-70-02,23.5,8,1,3,4,0,3.5,1,0,0,1,0,1,1,0,23.5,TRUE
2019-03-06 22.43.06,Högskolan i Halmstad,2019-03-06,SM-70-03,36,7,1,4,3,2,3,4,1,3,5,1,1,1,0,36,TRUE
2019-03-06 22.46.21,Högskolan i Halmstad,2019-03-06,SM-70-05,35,10,1.5,4,2,5.5,0,5,0,2,5,0,0,0,0,35,TRUE
2019-03-06 22.50.25,Högskolan i Halmstad,2019-03-06,SM-70-06,22.5,5,1,0,2,1,2,3,0,1,5,0,1,1,0.5,22.5,TRUE
2019-03-06 22.55.12,Högskolan i Halmstad,2019-03-06,SM-70-07,30.5,8,1,2,4,4,5.5,5,0,0,1,0,0,0,0,30.5,TRUE
